플랫폼,브랜드,상품명,카테고리,가격,할인율,평점,리뷰수,로켓배송여부,상품URL,수집일
쿠팡,일양약품,"일양약품 마그네슘 스피드액 14p, 280g, 1개",마그네슘,11500,4%,5.0,3521,Y,https://www.coupang.com/vp/products/7240981624?itemId=23721721448&vendorItemId=86670401315&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,고려은단,"고려은단 프로바이오틱스 스페셜핏 100억 유산균 11.4g, 30정, 3개",유산균,46900,21%,5.0,5251,Y,https://www.coupang.com/vp/products/6988452198?itemId=27085516754&vendorItemId=84269765113&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,유한메디카,"유한메디카 마그네슘 엔 탑 400 맥스 108g, 90정, 1개",마그네슘,11310,4%,5.0,1659,Y,https://www.coupang.com/vp/products/7491024255?itemId=19737780310&vendorItemId=86841557800&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,고려은단,"고려은단 프로바이오틱스 스페셜핏 100억 유산균 11.4g, 30정, 2개",유산균,32900,17%,5.0,5251,Y,https://www.coupang.com/vp/products/6988452198?itemId=17919107293&vendorItemId=84269765065&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,재로우,"재로우 펨 도필러스 유산균 서플먼트 10억 CFU 베지 캡슐, 60정, 2개",유산균,58250,23%,5.0,82576,Y,https://www.coupang.com/vp/products/8336583914?itemId=24215241874&vendorItemId=70524758059&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,락토핏,"락토핏 생유산균 코어, 120g, 1개",유산균,12200,0%,5.0,80988,Y,https://www.coupang.com/vp/products/5498533952?itemId=22783302848&vendorItemId=85023806746&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,재로우,"재로우 우먼스 펨 도피러스 유산균 캡슐, 60정, 2개",유산균,60120,23%,5.0,10732,Y,https://www.coupang.com/vp/products/6960887991?itemId=20074546739&vendorItemId=81217796016&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,500억,"500억 유산균 CJ 바이오코어 건강한 생유산균 고함량 특허유산균, 60정, 2개",유산균,59900,1%,5.0,7811,Y,https://www.coupang.com/vp/products/9617632719?itemId=28245998353&vendorItemId=84993541516&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,뉴트리디데이,"뉴트리디데이 프리미엄 마그네슘 400, 90정, 1개",마그네슘,10900,49%,5.0,10198,Y,https://www.coupang.com/vp/products/9221655436?itemId=27250669478&vendorItemId=76228037698&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,로엘,"로엘 히알루론산 콜라겐정, 60정, 1개",콜라겐,11900,0%,4.5,21151,Y,https://www.coupang.com/vp/products/1349936400?itemId=2378081753&vendorItemId=70373630844&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,네추럴라이즈,"네추럴라이즈 멀티비타민 꾸미, 60정, 1개",멀티비타민/종합비타민/멀티미네랄,12900,0%,5.0,15149,Y,https://www.coupang.com/vp/products/6745478488?itemId=15759756141&vendorItemId=82973233751&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,고려은단,"고려은단 비타민C 골드 플러스, 240정, 2개",비타민C,66500,26%,5.0,30467,Y,https://www.coupang.com/vp/products/8225410091?itemId=20743684272&vendorItemId=81209834522&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,기타,"쏜 리서치 마그네슘 글리시네이트 캡슐, 1개, 90정",마그네슘,27070,25%,5.0,375,Y,https://www.coupang.com/vp/products/8886045533?itemId=25940184054&vendorItemId=92923428098&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,이너랩,"이너랩 화이트 저분자 콜라겐 글루타치온, 60g, 1개",콜라겐,12450,50%,5.0,8590,Y,https://www.coupang.com/vp/products/6924727756?itemId=16735206579&vendorItemId=85424638286&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,종근당건강,"종근당건강 알티지 오메가3 듀얼, 60정, 1개",오메가3,9500,0%,5.0,135020,Y,https://www.coupang.com/vp/products/5449810685?itemId=28323121985&vendorItemId=95283454226&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,고려은단,"고려은단 비타민C 1000 + 쇼핑백, 180정, 4개",비타민C,50480,1%,5.0,287796,Y,https://www.coupang.com/vp/products/9334963084?itemId=16103278693&vendorItemId=84995746459&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,뉴트리디데이,"뉴트리디데이 프리미엄 칼슘 마그네슘 아연 비타민D, 90정, 1개",마그네슘,10900,33%,5.0,67915,Y,https://www.coupang.com/vp/products/7663082990?itemId=20420800467&vendorItemId=3447807470&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,PH365,"PH365 피에이치365 프로바이오틱스 베이비 아기유산균, 1개, 90g",유산균,39000,13%,5.0,3256,Y,https://www.coupang.com/vp/products/1689337578?itemId=2876962408&vendorItemId=70866107395&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,뉴트리정,"뉴트리정 가득채운 프리미엄 글루타치온 57000 콜라겐 식약처 인증, 1개, 120정",콜라겐,13900,58%,5.0,4264,Y,https://www.coupang.com/vp/products/8943399049?itemId=26157374979&vendorItemId=93137263164&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,뉴트리디데이,"뉴트리디데이 프리미엄 오메가3 골드 1100, 90정, 2개",오메가3,39900,39%,5.0,65676,Y,https://www.coupang.com/vp/products/7821106059?itemId=21244495236&vendorItemId=4687704852&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,바이탈프로그램,"바이탈프로그램 정품 비타민C 1000mg, 600정, 1개",비타민C,28630,36%,5.0,70792,Y,https://www.coupang.com/vp/products/6903873562?itemId=18220645881&vendorItemId=3000177635&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,종근당,"종근당 마그네슘 플러스, 90정, 1개",마그네슘,13010,0%,4.5,4639,Y,https://www.coupang.com/vp/products/7167085702?itemId=18048349053&vendorItemId=94640843396&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,솔가,"솔가 마그네슘 위드 비타민 B6, 100정, 1개",마그네슘,19450,54%,5.0,2867,N,https://www.coupang.com/vp/products/8164146674?itemId=2660440181&vendorItemId=70651087253&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,고려은단,"고려은단 비타민C 1000 플러스, 100ml, 40개",비타민C,18900,0%,5.0,49445,Y,https://www.coupang.com/vp/products/8157279876?itemId=19469999949&vendorItemId=84995750115&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,락토핏,"락토핏 슬림 유산균, 120g, 1개",유산균,17200,0%,5.0,25393,Y,https://www.coupang.com/vp/products/9069648888?itemId=16265967325&vendorItemId=83458757730&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,뉴트리디데이,"뉴트리디데이 프리미엄 오메가3 골드 1100, 90정, 1개",오메가3,20900,36%,5.0,65676,Y,https://www.coupang.com/vp/products/7821106059?itemId=21244482032&vendorItemId=3000085957&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,종근당건강,"종근당건강 프로메가 알티지 오메가3 듀얼, 60정, 3개",오메가3,25900,33%,5.0,1993,N,https://www.coupang.com/vp/products/8636251612?itemId=25058535480&vendorItemId=92062799070&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,일양약품,"일양약품 장건강 듀오 프로바이오틱스 골드, 50정, 1개",유산균,9900,0%,4.5,6898,Y,https://www.coupang.com/vp/products/7432425582?itemId=19306739798&vendorItemId=3741913567&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,대웅생명과학,"대웅생명과학 헬리코박터 증식억제 위건강 앤 장건강 유산균 스페인감초추출물 위점막 보호, 1개, 30정",유산균,18600,18%,5.0,3074,Y,https://www.coupang.com/vp/products/8174302693?itemId=23357675051&vendorItemId=90388229763&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,비타할로,"비타할로 온가족 생 유산균, 300g, 1개",유산균,18990,30%,5.0,49364,Y,https://www.coupang.com/vp/products/186444869?itemId=533074483&vendorItemId=4389019780&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,센트룸,"센트룸 실버 우먼 멀티비타민 76.7g, 50정, 1개",멀티비타민/종합비타민/멀티미네랄,22950,15%,5.0,21597,Y,https://www.coupang.com/vp/products/7763969969?itemId=27982087634&vendorItemId=94939849289&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,닥터파이토,"닥터파이토 덴티백+ 구강유산균 BLIS M18 30g, 30정, 1개",유산균,22000,0%,4.5,181,Y,https://www.coupang.com/vp/products/9595840083?itemId=28645702573&vendorItemId=95342579478&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,베스트오브그린,"베스트오브그린 고함량 맥스 비타민C 3000, 270g, 2개",비타민C,17500,78%,5.0,4752,Y,https://www.coupang.com/vp/products/7770373143?itemId=21268509331&vendorItemId=88328797134&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,올바른건강식품,"올바른건강식품 곡물효소 프로바이오틱스 블랙, 270g, 1개",유산균,17900,18%,5.0,14472,Y,https://www.coupang.com/vp/products/6513949468?itemId=14400807577&vendorItemId=93370924577&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,익스트림,"익스트림 멀티비타민 미네랄 42g, 60정, 1개",멀티비타민/종합비타민/멀티미네랄,14900,57%,5.0,8538,Y,https://www.coupang.com/vp/products/6346000066?itemId=13334083637&vendorItemId=91307406764&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,락토핏,"락토핏 당케어 유산균, 120g, 1개",유산균,13180,62%,5.0,21401,Y,https://www.coupang.com/vp/products/7893057219?itemId=21614134728&vendorItemId=89440763589&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,바이오가이아,"바이오가이아 프로텍티스 이지드롭 프로바이오틱스 + 비타민 D 영양제, 10ml, 1개",유산균,43840,47%,5.0,7483,Y,https://www.coupang.com/vp/products/8746727694?itemId=15833332311&vendorItemId=83044891579&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,락토핏,"락토핏 생유산균 코어맥스 60p, 120g, 3개",유산균,31410,59%,5.0,10435,Y,https://www.coupang.com/vp/products/8289078907?itemId=27459519032&vendorItemId=94424807425&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,세노비스,"[세노비스] 어린이 멀티비타민, 90정, 1개",멀티비타민/종합비타민/멀티미네랄,23060,42%,5.0,21658,Y,https://www.coupang.com/vp/products/7828194275?itemId=374157&vendorItemId=94676903845&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,닥터린,"닥터린 초임계 알티지 오메가3 알파 30.21g, 30정, 3개",오메가3,26900,9%,5.0,40373,Y,https://www.coupang.com/vp/products/8230302231?itemId=23686281135&vendorItemId=94253171009&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,여성 케어,"뉴트리킷 콜린 이노시톨 4000 엽산 질유산균 40:1 고함량 배합 미오 D-카이로 이노시톨 포 우먼 ( 여성 케어 ), 1개, 153g",유산균,15750,28%,5.0,756,Y,https://www.coupang.com/vp/products/9171486960?itemId=27030765751&vendorItemId=93999599249&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,레모나,"레모나 비타민C 70포, 140g, 1개",비타민C,12900,47%,5.0,20629,Y,https://www.coupang.com/vp/products/6537152377?itemId=27830448428&vendorItemId=71620856212&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,락토핏,"락토핏 생유산균 베베 60포, 120g, 1개",유산균,14780,0%,5.0,36804,Y,https://www.coupang.com/vp/products/5814969994?itemId=17095320082&vendorItemId=84269176425&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,얼라이브,"얼라이브 원스데일리 포 우먼 멀티비타민, 30정, 1개",멀티비타민/종합비타민/멀티미네랄,12900,0%,5.0,43139,Y,https://www.coupang.com/vp/products/3961975?itemId=27428561274&vendorItemId=84971043613&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,락토핏,"락토핏 정품 코어 유산균 60p, 2g, 180개",유산균,33110,0%,5.0,80988,Y,https://www.coupang.com/vp/products/5498533952?itemId=16458772581&vendorItemId=85093994017&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,뉴트리디데이,"뉴트리디데이 프리미엄 멀티비타민 골드, 90정, 1개",멀티비타민/종합비타민/멀티미네랄,11900,27%,5.0,35123,Y,https://www.coupang.com/vp/products/7311465993?itemId=18657860312&vendorItemId=4529156516&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,메가도스,"메가도스 비타민C 3000mg, 180g, 3개",비타민C,44620,4%,5.0,64496,Y,https://www.coupang.com/vp/products/46208003?itemId=22892828992&vendorItemId=89927383756&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,고려은단,"고려은단 비타민C 1000 + 쇼핑백, 180정, 2개",비타민C,33000,0%,5.0,287796,Y,https://www.coupang.com/vp/products/9334963084?itemId=16547687293&vendorItemId=84995746489&sourceType=CATEGORY&categoryId=305698,2026-06-24
쿠팡,센트룸,"센트룸 실버 맨 멀티비타민 미네랄, 50정, 1개",멀티비타민/종합비타민/멀티미네랄,22880,15%,5.0,10839,Y,https://www.coupang.com/vp/products/8335680366?itemId=22719265054&vendorItemId=95330260026&sourceType=CATEGORY&categoryId=305698,2026-06-24
