카테고리,goods_no,brand,name,price_org,price_cur,score,review_count,tags,link,img_url
슬리밍_이너뷰티,A000000226999,푸드올로지,[서현PICK] 콜레올로지 PRO 600mg*60정 (1개월분),45800.0,30400,4.7,999+,"세일, 쿠폰, 증정, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000226999,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022699911ko.jpg?l=ko
슬리밍_이너뷰티,A000000205750,푸드올로지,"[서현PICK] 콜레올로지 티 PRO 하비탈출 8,000mg X 7포/15포 (7일분/15일분)",17900.0,13970,4.6,999+,"세일, 쿠폰, 증정, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000205750,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0020/A00000020575010ko.jpg?l=ko
슬리밍_이너뷰티,A000000146052,생활약속,[6월 올영픽/곽민경 PICK]생활약속 기분전환 (본품10포+1포 추가 증정),15000.0,11200,4.8,999+,"세일, 쿠폰, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000146052,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0014/A00000014605218ko.jpg?l=ko
슬리밍_이너뷰티,A000000254467,이너랩,[올영단독][독하게 매드] 셀트리온 홀드잇 MAD 매드 10일/14일,21300.0,19300,5.0,999+,"세일, 쿠폰, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000254467,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0025/A00000025446711ko.png?l=ko
슬리밍_이너뷰티,A000000237480,헬스헬퍼,[추성훈PICK] 헬스헬퍼 맥스컷 다이어트 핏3.1 (14포),31000.0,27460,4.9,198,"세일, 쿠폰, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000237480,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023748005ko.jpg?l=ko
슬리밍_이너뷰티,A000000249409,CJ이너비,[6월 올영픽/먹는 PDRN 젤리] CJ 이너비 PDRN 리즈 벨리곰기획 14포 (14일분),38000.0,18900,5.0,999+,"세일, 쿠폰, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000249409,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024940921ko.jpg?l=ko
슬리밍_이너뷰티,A000000218073,닥터아돌,[품절대란] 닥터아돌 카테킨 아세로라 바베이도스 체리C D 60정 / 히카바이오틱스 위디어트 21포,38000.0,32300,4.7,999+,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000218073,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0021/A00000021807350ko.png?l=ko
슬리밍_이너뷰티,A000000241581,바이탈뷰티,[다이어트 부스터] 바이탈뷰티 메타그린 부스터샷 7개입,28000.0,22610,4.7,999+,"세일, 쿠폰, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000241581,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024158141ko.jpg?l=ko
슬리밍_이너뷰티,A000000232120,메디슨벨,[올영단독] 메디슨벨 마시는 샐러드 트리플 7+1포/14포 (8/14일분),17400.0,15400,4.9,999+,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000232120,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023212006ko.jpg?l=ko
슬리밍_이너뷰티,A000000255287,바이탈뷰티,[6월 올영픽/컷팅젤리] 바이탈뷰티 메타그린 더블컷 젤리 10입,23000.0,18500,4.9,194,"세일, 쿠폰, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000255287,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0025/A00000025528711ko.jpg?l=ko
슬리밍_이너뷰티,A000000223554,멜라메이트,[포켓몬 에디션] 식물성 멜라토닌 함유 멜라메이트 구미/로우슈가 구미 20/40/50구미 (+잠만보 말랑볼),,13000,4.8,999+,오늘드림,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000223554,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022355437ko.jpg?l=ko
슬리밍_이너뷰티,A000000245874,올더베러,올더베러 웰니스 구미 30일분 6종 택1,,14900,4.8,999+,오늘드림,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000245874,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024587408ko.jpg?l=ko
슬리밍_이너뷰티,A000000248463,바이탈뷰티,[리뉴얼/대용량] 바이탈뷰티 메타그린 슬림업 60정 리필 (2개월분),65000.0,49980,4.7,999+,"세일, 쿠폰, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000248463,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024846304ko.jpg?l=ko
슬리밍_이너뷰티,A000000218546,멜라메이트,식물성 멜라토닌 함유 멜라메이트 구미/로우슈가 구미 (20/50구미),,13000,4.8,999+,오늘드림,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000218546,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0021/A00000021854613ko.jpg?l=ko
슬리밍_이너뷰티,A000000246116,씨제이웰케어,CJ웰케어 다이어트&혈당케어 30정 (1개월분) (OY단독),6900.0,5900,4.7,480,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000246116,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024611605ko.jpg?l=ko
슬리밍_이너뷰티,A000000225470,이너랩,[올영단독] 셀트리온 홀드잇 30정 기획 (+5정 증정),22900.0,19500,4.8,999+,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000225470,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022547079ko.png?l=ko
슬리밍_이너뷰티,A000000224958,탄탄,탄탄 슬리밍 트리플 부스터 샷 5일+2일,22900.0,18900,4.7,190,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000224958,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022495810ko.jpg?l=ko
슬리밍_이너뷰티,A000000204859,푸드올로지,[서현PICK/NEW]콜레올로지 쾌변 젤리 10포 (+2포 증정) (12일분),23900.0,18400,4.7,924,"세일, 쿠폰, 증정, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000204859,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0020/A00000020485911ko.jpg?l=ko
슬리밍_이너뷰티,A000000186058,grn+,grn+ 분홍이(105정)+초록이(70정) 기획세트 (35일분),,39900,4.7,999+,오늘드림,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000186058,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0018/A00000018605848ko.jpg?l=ko
슬리밍_이너뷰티,A000000248686,푸드올로지,[먹는 앰플젤리] 푸드올로지 앰플젤리 7포 5종 택1(PDRN/글루타치온C/히알루론산/시카/NMN),21900.0,14900,5.0,999+,"세일, 쿠폰, 증정, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000248686,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024868615ko.jpg?l=ko
슬리밍_이너뷰티,A000000176758,칼로(Kalo),[올영단독] 칼로 스탑 PLUS 15포 + 컨트롤 PLUS 15포 기획 (1개월분),30800.0,20500,4.8,969,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000176758,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0017/A00000017675815ko.png?l=ko
슬리밍_이너뷰티,A000000146560,바이너랩,바이너랩 겟글로이 14병 (2주분),58000.0,53000,4.7,500,"세일, 증정, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000146560,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0014/A00000014656006ko.png?l=ko
슬리밍_이너뷰티,A000000211903,푸드올로지,푸드올로지 톡스올로지 클렌즈 비움 PRO 50ml*6병 (6회분),22900.0,19480,4.7,999+,"세일, 쿠폰, 증정, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000211903,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0021/A00000021190306ko.jpg?l=ko
슬리밍_이너뷰티,A000000188804,오니스트,오니스트 트리플콜라겐 오렌지 14일 루틴,36700.0,33000,4.8,999+,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000188804,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0018/A00000018880419ko.jpg?l=ko
슬리밍_이너뷰티,A000000210606,비비랩,[차주영 PICK] 비비랩 저분자콜라겐S 에코패키지 기획 (100일분),56000.0,49800,4.9,999+,세일,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000210606,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0021/A00000021060610ko.jpg?l=ko
슬리밍_이너뷰티,A000000224982,지노마스터,지노마스터 이노시톨 30포 (1개월분),29000.0,17500,4.8,999+,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000224982,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022498231ko.jpg?l=ko
슬리밍_이너뷰티,A000000254397,CJ이너비,[6월 올영픽] CJ 이너비 슬리밍 쾌변 젤리 벨리곰 기획 12포 (12일분),23900.0,17500,5.0,999+,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000254397,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0025/A00000025439708ko.jpg?l=ko
슬리밍_이너뷰티,A000000204431,CJ이너비,CJ 이너비 슬리밍샷 6병/스타터 6병,14900.0,9900,4.8,999+,"세일, 쿠폰, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000204431,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0020/A00000020443141ko.jpg?l=ko
슬리밍_이너뷰티,A000000232628,네츄럴굿띵스,네츄럴굿띵스 잇츠 그린 샐러드 14포 (14일분),31900.0,19900,5.0,999+,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000232628,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023262833ko.jpg?l=ko
